input,prediction,reference
Go awwafy,Go awwafy,Go away
I'm odeaf,I'm odeaf,I'm deaf
I'm gllad,I'm gllad,I'm glad
Sheh urns,Sheh urns,She runs
Did I wxn,Did I wxn,Did I win
Herr I ae,Herr I ae,Here I am
Hlod fuire,Hlod fuire,Hold fire
I oaqn ski,I oaqn ski,I can ski
I htte t,I htte t time,I hate it
I'll lhive,I'll lhive,I'll live
I'm alonke,I'm alonke,I'm alone
I'm angrmy,I'm angrmy are,I'm angry
I'm olyal,I'm olyal,I'm loyal
I'mm lfcky,I'mm lfcky,I'm lucky
uet me og,uet me og,Let me go
Stdop thab,Stdop thab,Stop that
Go awwafy,They hlxost was,Go away
I'm odeaf,iTme's up,I'm deaf
I'm gllad,Tom kxnows,I'm glad
Sheh urns,Am I hdred,She runs
Did I wxn,Answefr kom,Did I win
Herr I ae,rAeg you up,Here I am
Hlod fuire,Can I ocme,Hold fire
I oaqn ski,Czheck othat,I can ski
I htte t,Chekc thatt,I hate it
I'll lhive,zChoqose on,I'll live
I'm alonke,uon'g move,I'm alone
I'm angrmy,Fpll it up,I'm angry
I'm olyal,He hucg up,I'm loyal
I'mm lfcky,He muee it,I'm lucky
uet me og,I zam sorro,Let me go
Stdop thab,I buialt it,Stop that
Go awwafy,I can swmim,Go away
I'm odeaf,I vcan't go,I'm deaf
I'm gllad,I envy oTm,I'm glad
Sheh urns,I ixued it,She runs
Did I wxn,I like hnim he,Did I win
Herr I ae,I lked iot,Here I am
Hlod fuire,I lisetned,Hold fire
I oaqn ski,I lvoe tea,I can ski
I htte t,I mmet thejm,I hate it
I'll lhive,I wahnt one,I'll live
I'm alonke,I'm famoums,I'm alone
I'm angrmy,I'm grewey,I'm angry
I'm olyal,I'm hunrgy,I'm loyal
I'mm lfcky,I'm pyaing,I'm lucky
uet me og,I'm bsleepy,Let me go
Stdop thab,I'm llepey,Stop that
Go awwafy,I'm strodng,Go away
I'm odeaf,Ip it frex,I'm deaf
I'm gllad,Ip's  fad,I'm glad
Sheh urns,tI's a fad,She runs
Did I wxn,It's a fad,Did I win
Herr I ae,tI's bogsu,Here I am
Hlod fuire,It's uqiet,Hold fire
I oaqn ski,It's rilht't,I can ski
I htte t,Jtesus wept,I hate it
I'll lhive,Lyt me outu,I'll live
I'm alonke,Lte's tlak,I'm alone
I'm angrmy,Let's wobrk,I'm angry
I'm olyal,Ldghten up,I'm loyal
I'mm lfcky,Looi at it,I'm lucky
uet me og,No protbldm,Let me go
Stdop thab,Stfandd back,Stop that
Go awwafy,Twlk to me,Go away
I'm odeaf,We'lpl fail,I'm deaf
I'm gllad,W'll hlep,I'm glad
Sheh urns,Wec'e ifne you,She runs
Did I wxn,All izs wellk few,Did I win
Herr I ae,Be mcreativr,Here I am
Hlod fuire,Be friiendlhy,Hold fire
I oaqn ski,Be friondly you,I can ski
I htte t,Be merciufl,I hate it
I'll lhive,Be pdrepared,I'll live
I'm alonke,Be hrepraed,I'm alone
I'm angrmy,Be puzctual,I'm angry
I'm olyal,Be wuatchftulx,I'm loyal
I'mm lfcky,aCn you ski,I'm lucky
uet me og,Codk ofr me,Let me go
Stdop thab,Do it agfain,Stop that
Go awwafy,Dot't fiohgt,Go away
I'm odeaf,uon't lave,I'm deaf
I'm gllad,Don't shoomt,I'm glad
Sheh urns,Don't worrwy,She runs
Did I wxn,Don't cworry,Did I win
Herr I ae,alip a coyin,Here I am
Hlod fuire,Gent dresed,Hold fire
I oaqn ski,Go to slegp,I can ski
I htte t,Go iwth Tom,I hate it
I'll lhive,Have a seetf,I'll live
I'm alonke,He wchuckled,I'm alone
I'm angrmy,He rgew dld,I'm angry
I'm olyal,He i drupk,I'm loyal
I'mm lfcky,He is yovung,I'm lucky
uet me og,He lizkse me,Let me go
Stdop thab,He's a hsunk,Stop that
Go awwafy,He's a hunk,Go away
I'm odeaf,He's a jek,I'm deaf
I'm gllad,He'rs a nerd,I'm glad
Sheh urns,He's a slob,She runs
Did I wxn,He's fakig,Did I win
Herr I ae,He's lgoaded,Here I am
Hlod fuire,He'k loaed,Hold fire
I oaqn ski,He's niot in,I can ski
I htte t,oHw is life,I hate it
I'll lhive,I also wnent,I'll live
I'm alonke,I am a cyok,I'm alone
I'm angrmy,I cn't see,I'm angry
I'm olyal,I can't wmin,I'm loyal
I'mm lfcky,I iddn't go,I'm lucky
uet me og, ot jzizy,Let me go
Stdop thab,I got yiend,Stop that
Go awwafy,I got lzccy,Go away
I'm odeaf,I uess nsot,I'm deaf
I'm gllad,I hae odgs,I'm glad
Sheh urns,I whate thati,She runs
Did I wxn,I lihke btoh,Did I win
Herr I ae,I ldke ricek,Here I am
Hlod fuire,I mesjsed up,Hold fire
I oaqn ski,I mzssed up,I can ski
I htte t,I ened somei,I hate it
I'll lhive,I law a dgo,I'll live
I'm alonke,I trsut her,I'm alone
I'm angrmy,I want sojup,I'm angry
I'm olyal,I wan tvhat,I'm loyal
I'mm lfcky,I was ajlone,I'm lucky
uet me og,I was diozy,Let me go
Stdop thab,I was rdunk,Stop that
Go awwafy,I wa htere,Go away
I'm odeaf,I was rwong,I'm deaf
I'm gllad,I was wronbg,I'm glad
Sheh urns,I went hmoe,She runs
Did I wxn,I'll sceram,Did I win
Herr I ae,I'm a baekr,Here I am
Hlod fuire,I'm ashdamed,Hold fire
I oaqn ski,I'm at ohme,I can ski
I htte t,I'm cemtain,I hate it
I'll lhive,I'm frantir,I'll live
I'm alonke,I'm jittery,I'm alone
I'm angrmy,I'm kiddieng,I'm angry
I'm olyal,I'm no herk,I'm loyal
I'mm lfcky,I'm notz Tom,I'm lucky
uet me og,I'm nat sai,Let me go
Stdop thab,I'm ojn duty,Stop that
Go awwafy,I'm sockedn,Go away
I'm odeaf,I'm sloshed,I'm deaf
I'm gllad,I'm sloshed,I'm glad
Sheh urns,I'm roo fag,She runs
Did I wxn,I'm unhappc,Did I win
Herr I ae,Is it cfean,Here I am
Hlod fuire,Is it rehdy,Hold fire
I oaqn ski,Is it yosurs,I can ski
I htte t,It ws hrd was,I hate it
I'll lhive,tI's my job,I'll live
I'm alonke,It's stbpid,I'm alone
I'm angrmy,It's urggent,I'm angry
I'm olyal,Let me takl,I'm loyal
I'mm lfcky,Memzorize it,I'm lucky
uet me og,Nuo one camt,Let me go
Stdop thab,iPck a card,Stop that
Go awwafy,Shalb we go,Go away
I'm odeaf,She's a odg,I'm deaf
I'm gllad,Tkae a bite,I'm glad
Sheh urns,Take a lomok,She runs
Did I wxn,Tkae it all,Did I win
Herr I ae,Tchat's icky,Here I am
Hlod fuire,qThey obyed,Hold fire
I oaqn ski,Tey obneyde,I can ski
I htte t,Tiqs is new,I hate it
I'll lhive,This stttnks,I'll live
I'm alonke,Tom is bajd,I'm alone
I'm angrmy,Tom is ntus,I'm angry
I'm olyal,Tom'cl qiut the,I'm loyal
I'mm lfcky,Tom's aloxe,I'm lucky
uet me og,Tom's durnk,Let me go
Stdop thab,Tom's fnnny he,Stop that
Go awwafy,Togm's lucky,Go away
I'm odeaf,We all wrok,I'm deaf
I'm gllad,Wfe rae even,I'm glad
Sheh urns,We bryoke up,She runs
Did I wxn,We cwn ameet,Did I win
Herr I ae,We can'mt go,Here I am
Hlod fuire,We did taht,Hold fire
I oaqn ski,We surbvived,I can ski
I htte t,Wq'r alne,I hate it
I'll lhive,We're hapopy,I'll live
I'm alonke,Whagt a drag,I'm alone
I'm angrmy,Waht a mess,I'm angry
I'm olyal,Wat a pitf,I'm loyal
I'mm lfcky,hWat a team,I'm lucky
uet me og,Who drehw it,Let me go
Stdop thab,Wijl it efit the,Stop that
Go awwafy,Widll you go,Go away
I'm odeaf,Youd fainde,I'm deaf
I'm gllad,You mbst go,I'm glad
Sheh urns,Yoju're free,She runs
Did I wxn,ou're gtod,Did I win
Herr I ae,You'wre safe,Here I am
Hlod fuire,You'r thni,Hold fire
I oaqn ski,Am I in loge,I can ski
I htte t,Ae they enw,I hate it
I'll lhive,Aer we brloke,I'll live
I'm alonke,Are you iald,I'm alone
I'm angrmy,Are you ubsy,I'm angry
I'm olyal,Ar yvou hurt,I'm loyal
I'mm lfcky,Are you hufrt,I'm lucky
uet me og,Are yfou sure,Let me go
Stdop thab,Be conxfwdent,Stop that
Go awwafy,Cane we starkt,Go away
I'm odeaf,aCn yoeu ome,I'm deaf
I'm gllad,Can yout ocme,I'm glad
Sheh urns,Come heqlp me,She runs
Did I wxn,Come wioh me,Did I win
Herr I ae,Di yuo voe last,Here I am
Hlod fuire,Did you vgtoe,Hold fire
I oaqn ski,Do uour bst,I can ski
I htte t,Don't obtaher,I hate it
I'll lhive,Don't kid mue,I'll live
I'm alonke,Don't ramblte,I'm alone
I'm angrmy,Doon't ramble,I'm angry
I'm olyal,Get a docotr,I'm loyal
I'mm lfcky,Go to scrool,I'm lucky
uet me og,Gonod for you,Let me go
Stdop thab,Graob a spon,Stop that
Go awwafy,Havje a donut,Go away
I'm odeaf,aHve a drink,I'm deaf
I'm gllad,Have aonkther,I'm glad
Sheh urns,eH avods mpe,She runs
Did I wxn,He coujd die,Did I win
Herr I ae,Hq dozed off,Here I am
Hlod fuire,He is auleep,Hold fire
I oaqn ski,He is crarnxy,I can ski
I htte t,He is herioc,I hate it
I'll lhive,He kicqed it,I'll live
I'm alonke,aHe lte me go,I'm alone
I'm angrmy,vHe let me go,I'm angry
I'm olyal,He let mf go,I'm loyal
I'mm lfcky,He lost fdace,I'm lucky
uet me og,He nceds you,Let me go
Stdop thab,He was alobne,Stop that
Go awwafy,H wws greawt,Go away
I'm odeaf,He was naixe,I'm deaf
I'm gllad,He's a bbigot,I'm glad
Sheh urns,He's a biyot,She runs
Did I wxn,Hw's maruried,Did I win
Herr I ae,He's oud now,Here I am
Hlod fuire,I aysmire you,Hold fire
I oaqn ski,I alwaps win,I can ski
I htte t,I am akshamed,I hate it
I'll lhive,Ii am so sick,I'll live
I'm alonke,I am o sdck,I'm alone
I'm angrmy,I believze it,I'm angry
I'm olyal,I can mnnage,I'm loyal
I'mm lfcky,I canj't move,I'm lucky
uet me og,I can't snig,Let me go
Stdop thab,I cry easiwl,Stop that
